"Name","City","Country","Domes","Status","EPN Inclusion","Station Log","OperationalCentre","TectonicPlate","Latitude","Longitude","Elevation","X","Y","Z","IGS","ITRF2014","IGS14"
"OUL200FIN","Oulu","Finland","10519M002","A","2017-03-19","oul200fin_20191028.log","FGI","EURASIAN","65.0864","25.8925","82.6","2423797.11","1176543.07","5761848.50","","",""
"OVE600SWE","Overkalix","Sweden","10437M002","A","2014-06-22","ove600swe_20191105.log","LMV","EURASIAN","66.3178","22.7734","222.8","2368886.86","994496.33","5818476.68","","",""
"PADO00ITA","Padova","Italy","12750S001","A","2001-12-02","pado00ita_20200220.log","CISAS","EURASIAN","45.4112","11.8961","64.7","4388882.41","924567.03","4519588.45","IGS","ITRF2014",""
"PASA00ESP","Pasaia","Spain","19351S001","A","2015-11-08","pasa00esp_20200123.log","ARA","EURASIAN","43.3218","-1.9315","67.3","4644909.24","-156645.17","4353622.78","","ITRF2014",""
"PAT000GRC","Patras","Greece","12622M001","A","2009-06-14","pat000grc_20200325.log","INSU","EURASIAN","38.2837","21.7868","121.0","4655002.72","1860619.67","3930281.84","","ITRF2014",""
"PDEL00PRT","Ponta Delgada","Portugal","31906M004","A","2001-02-11","pdel00prt_20200103.log","DGT","EURASIAN","37.7477","-25.6628","110.8","4551596.14","-2186893.42","3883410.68","IGS","ITRF2014","IGS14"
"PENC00HUN","Penc","Hungary","11206M006","A","1996-03-03","penc00hun_20160303.log","SGO","EURASIAN","47.7896","19.2815","291.7","4052449.80","1417680.80","4701406.90","IGS","ITRF2014",""
"PFA200AUT","Bregenz","Austria","11005M003","A","2008-10-05","pfa200aut_20200204.log","BEV","EURASIAN","47.5153","9.7847","1090.3","4253560.00","733545.00","4681453.00","","",""
"PFA300AUT","Bregenz","Austria","11005M004","A","2019-03-17","pfa300aut_20181128.log","BEV","EURASIAN","47.5153","9.7847","1090.3","4253561.38","733544.83","4681451.82","","",""
"PMTH00GBR","Plymouth","United Kingdom","13229M001","A","2017-02-12","pmth00gbr_20200306.log","OS","EURASIAN","50.4165","-4.1262","175.1","4061825.00","-293021.00","4892572.00","","ITRF2014",""
"POLV00UKR","Poltava","Ukraine","12336M001","A","2001-09-09","polv00ukr_20191125.log","MAO","EURASIAN","49.6026","34.5429","178.1","3411557.34","2348463.83","4834396.64","IGS","ITRF2014","IGS14"
"PORE00HRV","Porec","Croatia","11907M001","A","2013-06-16","pore00hrv_20200213.log","SGA","EURASIAN","45.2260","13.5950","66.2","4373762.07","1057723.72","4505121.30","","",""
"POTS00DEU","Potsdam","Germany","14106M003","A","1995-12-31","pots00deu_20200402.log","GFZ","EURASIAN","52.3793","13.0661","144.4","3800689.63","882077.39","5028791.32","IGS","ITRF2014","IGS14"
"POUS00CZE","Poustka","Czech Republic","11518M001","A","2005-10-16","pous00cze_20200219.log","IRSM","EURASIAN","50.1384","12.2979","572.2","4002424.80","872512.90","4873111.70","","",""
"POZE00HRV","Pozega","Croatia","11908M001","A","2013-06-16","poze00hrv_20200302.log","SGA","EURASIAN","45.3328","17.6755","212.5","4279473.14","1363734.68","4513577.82","","",""
"PRAT00ITA","Prato","Italy","12760M001","A","2003-07-13","prat00ita_20190312.log","UNIFI","EURASIAN","43.8856","11.0991","120.0","4518264.43","886376.44","4399019.13","","",""
"PRYL00UKR","Pryluky","Ukraine","15502M001","A","2017-02-19","pryl00ukr_20191125.log","MAO","EURASIAN","50.5922","32.4004","172.5","3425673.04","2174035.50","4904999.95","","",""
"PTBB00DEU","Braunschweig","Germany","14234M001","A","2000-04-23","ptbb00deu_20200305.log","FSW","EURASIAN","52.2962","10.4597","130.2","3844060.11","709661.20","5023129.46","IGS","ITRF2014",""
"PULK00RUS","ST.PETERSBURG","Russian Federation","12305M001","A","2008-05-18","pulk00rus_20200127.log","PLK","EURASIAN","59.7718","30.3278","101.2","2778606.90","1625494.60","5487811.00","","",""
"PUYV00FRA","Le Puy en Velay","France","10065M001","A","2005-07-03","puyv00fra_20190313.log","IGN_RGP","EURASIAN","45.0436","3.8789","710.0","4504322.00","305405.00","4491277.00","","",""
"PYHA00FIN","Pyhajoki","Finland","10528M001","A","2018-10-28","pyha00fin_20191028.log","FGI","EURASIAN","64.4976","24.2376","26.3","2510901.14","1130426.70","5733838.62","","",""
"QAQ100GRL","Qaqortoq / Julianehaab","Greenland","43007M001","A","2002-09-08","qaq100grl_20200205.log","DNSC","NORTH AMERICAN","60.7153","-46.0478","110.4","2170942.18","-2251829.95","5539988.29","IGS","ITRF2014","IGS14"
"RAEG00PRT","Vila do Porto","Portugal","31912M003","A","2017-05-28","raeg00prt_20200330.log","IGE","EURASIAN","36.9857","-25.1264","297.9","4618477.73","-2166047.53","3816304.85","IGS","",""
"RAMO00ISR","Mitzpe Ramon","Israel","20703S001","A","1998-10-04","ramo00isr_20190203.log","SOI","AFRICAN","30.5978","34.7631","893.1","4514719.10","3133506.00","3228042.60","IGS","ITRF2014","IGS14"
"RANT00DEU","Rantum / Island Sylt","Germany","10914M001","A","2015-05-24","rant00deu_20200312.log","BKG","EURASIAN","54.8105","8.2907","47.1","3645376.75","531201.70","5189296.71","","",""
"REDU00BEL","Redu","Belgium","13102M001","A","2003-06-22","redu00bel_20191029.log","ESOC","EURASIAN","50.0015","5.1449","369.9","4091423.46","368380.43","4863179.70","IGS","ITRF2014",""
"REDZ00POL","Redzikowo","Poland","12227M001","A","2008-06-08","redz00pol_20190830.log","ASGEUPOS","EURASIAN","54.4724","17.1175","108.4","3550067.00","1093332.00","5167562.00","","ITRF2014",""
"REYK00ISL","Reykjavik","Iceland","10202M001","A","1995-12-31","reyk00isl_20190613.log","FSW","NORTH AMERICAN","64.1388","-21.9555","93.1","2587384.53","-1043033.50","5716564.01","IGS","ITRF2014",""
"RIGA00LVA","Riga","Latvia","12302M002","A","1996-11-03","riga00lva_20191016.log","LUAI","EURASIAN","56.9486","24.0588","34.7","3183899.34","1421478.38","5322810.74","IGS","ITRF2014","IGS14"
"RIO100ESP","Logrono","Spain","13448M002","A","2012-08-12","rio100esp_20200326.log","IGE","EURASIAN","42.4642","-2.4261","450.4","4708447.20","-199490.81","4284089.34","","",""
"ROM200FIN","Kuhmo","Finland","10520M002","A","2017-04-02","rom200fin_20191104.log","FGI","EURASIAN","64.2174","29.9318","243.0","2410840.27","1388076.19","5720514.68","","",""
"ROVE00ITA","Rovereto","Italy","12774M001","A","2006-04-09","rove00ita_20160307.log","ITCG","EURASIAN","45.8935","11.0421","261.7","4364680.87","851736.60","4557204.71","","",""
"SABA00SRB","Sabac","Serbia","12112M001","A","2015-06-21","saba00srb_20190531.log","RGZ","EURASIAN","44.7596","19.6967","140.9","4271111.88","1529000.29","4468514.48","","",""
"SALA00ESP","Salamanca","Spain","13469M001","A","2006-11-12","sala00esp_20200326.log","IGE","EURASIAN","40.9451","-5.4959","855.4","4803054.10","-462132.20","4158380.00","","",""
"SAS200DEU","Sassnitz Island of Ruegen","Germany","14281M002","A","2016-09-11","sas200deu_20200312.log","BKG","EURASIAN","54.5110","13.6431","39.2","3606364.60","875342.90","5170000.20","","",""
"SAVU00FIN","Savukoski","Finland","10529M001","A","2018-10-28","savu00fin_20191028.log","FGI","EURASIAN","67.9608","28.9558","265.2","2100286.21","1162091.70","5889701.34","","",""
"SBG200AUT","Salzburg","Austria","11031M002","A","2008-10-05","sbg200aut_20200204.log","BEV","EURASIAN","47.8034","13.1104","1323.0","4180931.00","973735.00","4703203.00","","",""
