#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName,ReceiverSatelliteSystem,ReceiverDateInstalled,AntennaName,AntennaRadome,AntennaSerialNumber,AntennaARP,AntennaMarkerUp,AntennaMarkerNorth,AntennaMarkerEast,AntennaDateInstalled,ClockType
GLPS00ECU,-33801.259,-6377516.5276,-82154.3037,-0.743,-90.304,2.188,JAVAD TRE_G3TH DELTA,GPS+GLO+GAL,2021-07-15T17:25Z,ASH701945B_M,SCIT,CR519992104,BPA,0.0083,0,0,2012-12-06T21:45Z,INTERNAL
GLSV00UKR,3512889.29,2068980.654,4888903.261,50.364,30.497,227.227,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,2020-05-07T17:40Z,TRM115000.00,NONE,1551038935,BAM,0,0,0,2019-06-24T08:05Z,INTERNAL
GODE00USA,1130773.718,-4831253.581,3994200.422,39.022,-76.827,14.927,SEPT POLARX5TR,GPS+GLO+GAL+BDS,2021-02-03T22:48Z,AOAD/M_T,JPLA,129,BPA,0.0614,0,0,2013-01-30T18:15Z,EXTERNAL H-MASER
GODN00USA,1130760.8757,-4831298.688,3994155.1861,39.021,-76.827,18.294,JAVAD TRE_3 DELTA,GPS+GLO+GAL+BDS,2021-07-22T17:21Z,TPSCR.G3,SCIS,383-0151,BPA,0.0083,0,0,2012-01-14T00:00Z,EXTERNAL H2 Maser
GODS00USA,1130752.3046,-4831349.1223,3994098.9504,39.021,-76.827,19.523,JAVAD TRE_3 DELTA,GPS+GLO+GAL+BDS,2021-07-22T17:39Z,JAVRINGANT_DM,SCIS,2083,BPA,0.0083,0,0,2020-09-03T00:00Z,EXTERNAL H2 Maser
GODZ00USA,1130773.867,-4831253.583,3994200.409,39.022,-76.827,14.947,JPS EGGDT,GPS+GLO,2008-06-27T14:54Z,AOAD/M_T,JPLA,129,BPA,0.0614,0,0,2013-01-30T18:15Z,EXTERNAL H-MASER
GOL200USA,-2353614.316,-4641385.324,3676976.407,35.425,-116.889,987.061,ASHTECH UZ-12,GPS,2006-09-27T00:00Z,AOAD/M_T,NONE,401-B,BPA,0.0254,0,0,2011-09-13,EXTERNAL H-MASER
GOLD00USA,-2353614.316,-4641385.3523,3676976.434,35.425,-116.889,987.097,JAVAD TRE_G3TH DELTA,GPS+GLO+GAL+QZSS,2021-07-15T18:16Z,AOAD/M_T,NONE,401-B,BPA,0.0254,0,0,2011-09-13,EXTERNAL H-Maser 
GOP600CZE,3979319.62,1050311.94,4857064.38,49.914,14.786,593.033,SEPT POLARX5,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,2021-02-08T13:42Z,SEPCHOKE_B3E6,SPKE,5287,BPA,0.0653,0,0,2019-04-09T07:10Z,EXTERNAL CESIUM
GOP700CZE,3979319.64,1050311.92,4857064.37,49.914,14.786,593.035,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,2019-04-23T14:49Z,SEPCHOKE_B3E6,SPKE,5287,BPA,0.0653,0,0,2019-04-09T07:10Z,EXTERNAL CESIUM
GOPE00CZE,3979316.134,1050312.478,4857067.108,49.914,14.786,593.038,TRIMBLE ALLOY,GPS+GLO+GAL+BDS+IRNSS+SBAS,2020-09-30T16:48Z,TPSCR.G3,TPSH,30161,BPA,0.1114,0,0,2018-07-17T19:08Z,EXTERNAL CESIUM
GRAC00FRA,4581708.63,556132.23,4389340.93,43.754,6.921,1320.227,LEICA GR50,GPS+GLO+GAL+BDS+SBAS,2022-02-11T11:00Z,TRM57971.00,NONE,5000113989,BAM,0.05,0,0,2015-03-10T13:00Z,INTERNAL
GRAS00FRA,4581690.811,556114.972,4389360.88,43.755,6.921,1319.745,TRIMBLE NETR9,GPS+GLO+GAL+BDS+SBAS,2021-10-06T09:15Z,ASH701945E_M,NONE,CR520024222,BPA,0.035,0,0,2004-10-21T09:00Z,INTERNAL
GRAZ00AUT,4194424.124,1162702.46,4647245.193,47.067,15.493,538.718,SEPT POLARX5,GPS+GLO+GAL+BDS,2021-11-03T07:24Z,LEIAR25.R4,LEIT,726444,BPA,1.964,0,0,2017-11-23T09:42Z,INTERNAL
GUAM00GUM,-5071312.6574,3568363.6347,1488904.402,13.589,144.868,202.317,SEPT POLARX5,GPS+GLO+GAL+BDS+QZSS,2021-11-26T17:00Z,JAVRINGANT_DM,SCIS,842,BPA,0.6229,0,0,2019-03-07T00:58Z,INTERNAL
GUAT00GTM,-56063.582,-6174978.67,1596665.267,14.59,-90.52,1520.277,LEICA GRX1200GGPRO,GPS+GLO,2014-08-13T22:26Z,LEIAR25.R3,LEIT,10190009,BPA,0,0,0,2012-06-12,INTERNAL
