site,mjd,lon,lat,ellh,zhd,zwd,ztd
HATA,58849.0,36.152749505,36.2082752325,137.8892,2.291310462225191,0.08235861411174787,2.373669076336939
HAT1,58849.0,36.15582107722222,36.200018265833336,132.3239,2.2928277745879595,0.08262918106653991,2.3754569556544993
HEND,58849.0,30.740748121944453,40.79499124416667,208.5337,2.274827630668016,0.07587964260960729,2.3507072732776235
HINI,58849.0,41.69578707194446,39.36878741805555,1742.6226,1.8870673037930894,0.03675526590289099,1.9238225696959803
HORS,58849.0,42.167326805277774,40.04164636111111,1592.3273,1.9225809062222634,0.03849598112629071,1.961076887348554
HYMN,58849.0,32.49571417222222,39.43472457583333,1261.5391,2.001466231153766,0.04779719616449713,2.0492634273182633
HYM1,58849.0,32.49525520388888,39.43708812694444,1240.3469,2.006715660902795,0.04830859508281853,2.0550242559856136
IGIR,58849.0,44.018251443611106,39.9292007475,884.2851,2.1008031214121416,0.05191020286011352,2.152713324272255
IGR1,58849.0,44.05374837194446,39.926443471388886,881.0018,2.1015974732344738,0.05186115279540099,2.1534586260298747
INEB,58849.0,33.76282383555556,41.979091618611115,98.4458,2.3031571562535635,0.07569004038678905,2.3788471966403524
INE1,58849.0,33.762860835277785,41.97900028805556,98.1481,2.303241150613107,0.07570053731873981,2.378941687931847
INE2,58849.0,33.7677733075,41.976968200833326,48.0414,2.317359048767147,0.07746930339738804,2.394828352164535
INE3,58849.0,33.76135067083333,41.97905228777778,62.6653,2.3132247881078785,0.07695463527692516,2.3901794233848035
IPSA,58849.0,26.379780585277782,40.917532141944434,49.2362,2.3191618679702435,0.08592980923929662,2.40509167720954
IPS1,58849.0,26.385506192777786,40.92146472027778,66.4949,2.314301851097347,0.08519942574540877,2.399501276842756
IPS2,58849.0,26.38429158138889,40.921480122777766,64.30199999999999,2.314919319321014,0.08529035177761203,2.400209671098626
ISPT,58849.0,30.56697776888889,37.78508936833333,1032.1306,2.0578972712686014,0.056165470404576735,2.114062741673178
ISTN,58849.0,28.831634081666675,40.99096174777778,77.0522,2.3106880190892065,0.0823487073510309,2.3930367264402372
IZMI,58849.0,27.08182221361111,38.394807905,74.935,2.3092320977026333,0.0894856086980201,2.3987177064006535
IZMT,58849.0,29.95093363,40.80197816333333,326.0741,2.2421091176499344,0.07232300325425806,2.3144321209041925
KAAS,58849.0,29.643158024999998,36.19839326638888,54.4486,2.310505447317854,0.09519705227107038,2.4057024995889242
KAMN,58849.0,33.22027138,37.193227216111104,1057.0068,2.052242784992152,0.053516210823436154,2.105758995815588
KAPN,58849.0,33.52692669833332,37.71466462083335,1039.5111,2.0573457632919676,0.05398440868842431,2.111330171980392
KAP1,58849.0,33.528278693333334,37.71441642944445,1034.4914,2.058617620996921,0.054130282532533866,2.112747903529455
KARB,58849.0,28.68277089388889,41.34711842138889,93.5867,2.3058782189413045,0.0816499451683615,2.387528164109666
KAYS,58849.0,35.524460878055564,38.708372088888886,1138.7758,2.0333565742260555,0.05034573910923749,2.083702313335293
KAY1,58849.0,35.503070220833344,38.71366367277777,1117.9267,2.038592471385472,0.050883368287531275,2.0894758396730033
KIKA,58849.0,27.672205611944445,39.105991361111116,241.2092,2.2648058942478677,0.08086592770986466,2.3456718219577324
KIRL,58849.0,27.21794899055556,41.73812180611111,280.6111,2.25472634066802,0.07426469402157879,2.3289910346895986
KIRS,58849.0,34.155487785,39.16462421666667,1063.64,2.051341153253075,0.0519563552710187,2.1032975085240935
KIS1,58849.0,34.163130851944445,39.14338055416667,1030.3007,2.0598238572534022,0.052854407406220556,2.112678264659623
KKAL,58849.0,33.51788380583333,39.84326516055556,794.5681,2.1201482895435118,0.05934295997401516,2.1794912495175267
KLIS,58849.0,37.112175696944455,36.70859996333333,681.9263,2.1478327502858545,0.062190919882312096,2.210023670168167
KLUU,58849.0,33.065363481388886,39.07910221916667,1052.3153,2.0540961080641433,0.05296661465729997,2.107062722721443
KNY1,58849.0,32.47635401138889,37.85939937194445,1084.6432,2.0458130223439155,0.053534875102187816,2.0993478974461035
KNYA,58849.0,32.5052336063889,38.02215187583333,1205.6816,2.015621553040412,0.050044831075095206,2.065666384115507
KRBK,58849.0,32.675926788611115,41.23162331833333,435.5431,2.212675475417478,0.0675453969184363,2.2802208723359145
KRS1,58849.0,43.09344334444446,40.588451581111116,1811.739,1.868952849532979,0.03300685759294565,1.9019597071259247
KRSU,58849.0,30.69119350611111,41.099315603055565,48.766000000000005,2.3184804884796884,0.08087448540787545,2.3993549738875637
KSTM,58849.0,33.775505109444445,41.37123244527777,835.3959,2.1062970157520042,0.055093291010836584,2.161390306762841
KURU,58849.0,32.717741548611116,41.84612521694444,74.4111,2.3098045268664564,0.0772648569422545,2.387069383808711
KUTA,58849.0,29.89885589194445,39.48086533138889,1076.3595,2.0468638485897936,0.052827789971840546,2.099691638561634
KUT1,58849.0,30.033640875000003,39.39415354194443,1027.3987,2.0593457014049235,0.05428819263830688,2.11363389404323
LEFK,58849.0,33.3529036286111,35.195046955277775,180.5037,2.276930415251711,0.08465196878561004,2.361582384037321
MALY,58849.0,38.21688926111111,38.33769465444445,985.8972,2.072720579142005,0.053117426436073666,2.125838005578079
MARA,58849.0,36.93113308638889,37.58075446861111,616.7711,2.1675156366896267,0.06519737775130562,2.2327130144409324
MAR1,58849.0,36.86149860944445,37.593375224166664,734.3754,2.1364313750739066,0.061372981001482176,2.197804356075389
MARD,58849.0,40.72828597444446,37.310500331111115,1064.1371,2.0500595077400443,0.04948726457983328,2.0995467723198775
MGOS,58849.0,33.90738760666667,35.14582049222222,49.7778,2.312116881046648,0.09117280373698587,2.403289684783634
MIDY,58849.0,41.357400975555564,37.41739928138889,977.7109,2.0716451445793105,0.051925309945830465,2.123570454525141
MALZ,58849.0,38.216889251944444,38.337694571388894,985.9102,2.072717235225087,0.05311707845958123,2.1258343136846682
MLZ1,58849.0,42.540571397777775,39.145901173611115,1571.7675,1.9281269356970208,0.0399912195272391,1.96811815522426
MRSI,58849.0,34.60259238861112,36.7810000175,40.4961,2.320433913391922,0.08927644921629681,2.409710362608219
MUGL,58849.0,28.36443998138889,37.21635825111112,713.6718,2.1368272199130667,0.06470524609756682,2.2015324660106335
MUG1,58849.0,28.355676189166672,37.21429318861111,693.2688,2.142088628070534,0.06542004559977835,2.2075086736703122
